Rank,Year,Genre,Device,FIFA,Mario,Call of Duty,Grand Theft Auto,Pokemon,Halo,Wii,NBA,NA_Sales As a percentage of Total,EU_Sales As a percentage of Total,JP_Sales As a percentage of Total,Other_Sales As a percentage of Total
8515,2011.0,Action,Console,0,0,0,0,0,0,0,0,56.25,18.75,18.75,6.25
11458,2009.0,Sports,Console,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0
5295,2003.0,Racing,Console,0,0,0,0,0,0,0,0,48.57,37.14,0.0,11.43
15418,2016.0,Simulation,PC,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0
12484,2002.0,Sports,Console,0,0,0,0,0,0,0,0,83.33,16.67,0.0,0.0
1174,2000.0,Misc,Console,0,0,0,0,0,0,0,0,55.7,37.97,0.0,6.33
3318,2010.0,Racing,Console,0,0,0,0,0,0,0,0,52.46,37.7,0.0,9.84
2872,2002.0,Fighting,Console,0,0,0,0,0,0,0,0,77.46,19.72,0.0,2.82
8482,2011.0,Racing,Portable,0,0,0,0,0,0,0,0,43.75,50.0,0.0,12.5
9216,2007.0,Sports,Console,0,0,0,0,0,0,0,0,92.86,0.0,0.0,7.14
15639,2007.0,Misc,Console,0,0,0,0,0,0,1,0,0.0,0.0,100.0,0.0
13679,2005.0,Strategy,PC,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0
16089,2011.0,Adventure,Portable,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0
6461,2014.0,Misc,Portable,0,0,0,0,0,0,0,0,50.0,26.92,0.0,23.08
7721,2011.0,Action,Console,0,0,0,0,0,0,0,0,75.0,15.0,0.0,5.0
4743,2011.0,Misc,Console,0,0,0,0,0,0,0,0,63.41,26.83,0.0,9.76
10065,2009.0,Sports,Console,0,0,0,0,0,0,0,0,90.91,0.0,0.0,9.09
2580,2008.0,Sports,Console,0,0,0,0,0,0,0,0,53.75,36.25,0.0,10.0
2442,2007.0,Action,Portable,0,0,0,0,0,0,0,0,32.94,55.29,0.0,11.76
2602,2008.0,Misc,Console,0,0,0,0,0,0,0,0,77.22,0.0,0.0,22.78
4887,1998.0,Sports,Console,0,0,0,0,0,0,0,0,97.44,2.56,0.0,0.0
10309,2011.0,Action,Console,0,0,0,0,0,0,0,0,72.73,18.18,0.0,9.09
4636,1995.0,Sports,Console,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0
1187,2000.0,Racing,Console,0,0,0,0,0,0,0,0,49.36,38.46,0.0,12.82
16594,2004.0,Adventure,PC,0,0,0,0,0,0,0,0,100.0,0.0,0.0,0.0
12214,,Misc,Console,0,0,0,0,0,0,0,0,85.71,0.0,0.0,0.0
9681,2011.0,Sports,Console,0,0,0,0,0,0,0,0,0.0,83.33,0.0,25.0
9038,2009.0,Puzzle,Portable,0,0,0,0,0,0,0,0,92.86,0.0,0.0,7.14
9900,2016.0,Misc,Portable,0,0,0,0,0,0,0,0,8.33,0.0,83.33,0.0
3326,2008.0,Misc,Console,0,0,0,0,0,0,0,0,60.66,26.23,1.64,9.84
2544,2015.0,Misc,Console,0,0,0,0,0,0,0,0,39.51,43.21,0.0,16.05
2422,1998.0,Sports,Console,0,0,0,0,0,0,0,0,55.81,37.21,0.0,6.98
5742,2010.0,Action,Console,0,0,0,0,0,0,0,0,61.29,29.03,0.0,9.68
15962,2002.0,Misc,Console,0,0,0,0,0,0,0,0,50.0,50.0,0.0,0.0
16578,2008.0,Adventure,Portable,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0
6822,2011.0,Role-Playing,Console,0,0,0,0,0,0,0,0,20.83,0.0,75.0,4.17
291,2007.0,Action,Console,0,0,0,0,0,0,0,0,57.0,0.98,0.98,41.03
7267,2011.0,Action,PC,0,0,0,0,0,0,0,0,54.55,31.82,0.0,13.64
13070,2009.0,Adventure,Portable,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0
1693,2002.0,Platform,Portable,0,0,0,0,0,0,0,0,77.31,19.33,0.0,3.36
8990,2013.0,Action,Portable,0,0,0,0,0,0,0,0,26.67,20.0,33.33,13.33
11142,2016.0,Racing,Console,0,0,0,0,0,0,0,0,11.11,77.78,0.0,11.11
15648,2009.0,Sports,Console,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0
13532,2003.0,Platform,Portable,0,0,0,0,0,0,0,0,75.0,25.0,0.0,0.0
16478,2003.0,Shooter,Console,0,0,0,0,0,0,0,0,100.0,0.0,0.0,0.0
15096,2002.0,Sports,Console,0,0,0,0,0,0,0,0,100.0,0.0,0.0,0.0
3085,2004.0,Role-Playing,Console,0,0,0,0,0,0,0,0,25.76,19.7,45.45,7.58
931,2014.0,Platform,Console,0,0,0,0,0,0,0,0,34.41,49.46,0.54,15.59
10184,2010.0,Racing,Portable,0,0,0,0,0,0,0,0,90.91,0.0,0.0,9.09
13143,1994.0,Misc,Console,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0
9715,2013.0,Action,Console,0,0,0,0,0,0,0,0,41.67,58.33,0.0,8.33
15224,2008.0,Sports,Portable,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0
223,2011.0,Action,Console,0,0,0,0,0,0,0,0,62.82,27.52,0.84,8.61
10855,1998.0,Strategy,Console,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0
14911,2006.0,Sports,Portable,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0
356,2007.0,Simulation,Portable,0,0,0,0,0,0,0,0,44.6,41.55,2.77,10.8
15432,2006.0,Sports,PC,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0
11521,2011.0,Shooter,PC,0,0,0,0,0,0,0,0,12.5,62.5,0.0,12.5
4692,2007.0,Racing,Console,0,0,0,0,0,0,0,0,90.24,2.44,0.0,7.32
8842,2008.0,Fighting,Console,0,0,0,0,0,0,0,0,46.67,40.0,0.0,13.33
3254,2015.0,Shooter,Console,0,0,0,0,0,0,0,0,58.06,32.26,0.0,9.68
6451,2013.0,Action,Console,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0
8614,2011.0,Action,Portable,0,0,0,0,0,0,0,0,37.5,31.25,12.5,18.75
92,2010.0,Platform,Console,0,1,0,0,0,0,0,0,47.59,31.47,12.74,8.32
1934,2005.0,Sports,Portable,0,0,0,0,0,0,0,0,9.35,58.88,0.0,31.78
15260,2008.0,Action,PC,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0
11603,2008.0,Simulation,Portable,0,0,0,0,0,0,0,0,87.5,12.5,0.0,12.5
7595,2009.0,Misc,Portable,0,0,0,0,0,0,0,0,95.0,0.0,0.0,5.0
11329,2015.0,Adventure,Portable,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0
6346,1998.0,Sports,Console,0,0,0,0,0,0,0,1,92.59,7.41,0.0,0.0
2095,1998.0,Platform,Console,0,0,0,0,0,0,0,0,55.56,38.38,0.0,6.06
11870,2005.0,Shooter,Console,0,0,0,0,0,0,0,0,71.43,28.57,0.0,0.0
